ampl: display Y;
Y [M1,*,Buraki,*] (tr)
:   S1 S10    S2   S3  S4  S5    S6    S7  S8  S9    :=
42   0    2.48   0      0      0      0      0    3.41   0      0
43   0    0      0      0      0      0      0    2.38   0      0
44   0    0      0      0      0      0      0    0      0.2    0
45   0    0.58   0      0      0      0      0    0      0.7    0
46   0    2.07   0      0      0      0      0    0      0      0
47   0    0      0      0      0      0      0    0      0      0
48   0    0      0      0      0      0      0    0      0      0
49   0    0      0      0      0      0      0    0      0      0
50   0    0      0      0      0      0      0    0      0      0
51   0    0      0      0      0      0      0    0      0      0
52   0    0.32   0      0.05   0.02   0.01   0    0.35   0.09   0

 [M3,*,Marchew,*] (tr)
:   S1   S10   S2  S3    S4   S5  S6    S7     S8   S9    :=
1    0   0      0   0   2.42   0   0   0.6    8.37   0
2    0   0      0   0   0      0   0   0.14   0      0
3    0   0      0   0   0      0   0   0.14   0      0
4    0   0      0   0   0      0   0   0.14   0      0
5    0   0      0   0   0      0   0   0.14   0      0
6    0   0      0   0   0      0   0   0.15   0      0
7    0   0      0   0   0      0   0   0.19   0      0
8    0   0      0   0   0      0   0   0.26   1.81   0
9    0   0      0   0   0.55   0   0   0.31   1.38   0
10   0   0      0   0   0.5    0   0   0.45   1.71   0
11   0   0      0   0   0.59   0   0   0.43   0      0
12   0   0      0   0   0.76   0   0   0.58   0      0
13   0   0      0   0   0.85   0   0   0.56   0      0
14   0   0      0   0   1.01   0   0   0.66   1.96   0
15   0   0      0   0   1.29   0   0   8.1    2.21   0
16   0   0      0   0   1.26   0   0   0      2.86   0
17   0   0      0   0   1.54   0   0   0      2.79   0
18   0   0      0   0   1.56   0   0   0      3.73   0
19   0   0      0   0   1.64   0   0   0      2.99   0
20   0   0      0   0   1.37   0   0   0      6.81   0
21   0   0      0   0   1.59   0   0   0      0      0
22   0   0      0   0   1.86   0   0   3.24   3.16   0
23   0   0      0   0   1.95   0   0   0      3.19   0
24   0   0      0   0   1.58   0   0   0      8.4    0
25   0   0      0   0   1.72   0   0   1.44   0      0
26   0   0      0   0   3.28   0   0   1.41   4.23   0
27   0   0      0   0   2.99   0   0   1.61   4.58   0
28   0   0      0   0   3.54   0   0   2.91   3.87   0
29   0   0      0   0   3.19   0   0   0      4.63   0
30   0   0      0   0   3.25   0   0   6.11   3.38   0
31   0   0      0   0   0.36   0   0   0      3.39   0
32   0   0      0   0   0      0   0   0      3.08   0
33   0   0.15   0   0   0      0   0   0      6.86   0
34   0   9.27   0   0   0      0   0   0      3.01   0
35   0   0      0   0   0      0   0   1.63   5.6    0
36   0   0      0   0   1.4    0   0   0      4.02   0
37   0   2.94   0   0   0.99   0   0   0.95   0      0
38   0   1.89   0   0   1.03   0   0   2.86   4.92   0
39   0   0      0   0   0.82   0   0   0      4.23   0
40   0   0      0   0   0.8    0   0   0      0.8    0
41   0   0      0   0   0.72   0   0   0      0      0
42   0   0      0   0   1.78   0   0   0.42   0.35   0
43   0   0      0   0   1.17   0   0   0.63   0      0
44   0   0      0   0   0      0   0   1.28   0      0
45   0   0      0   0   0      0   0   0      0      0
46   0   0      0   0   0      0   0   0      0      0
47   0   0      0   0   0      0   0   0      0      0
48   0   0      0   0   0      0   0   0      0      0
49   0   0      0   0   0      0   0   0      0      0
50   0   0      0   0   0      0   0   0      0      0
51   0   0      0   0   0      0   0   0      0      0
52   0   0      0   0   0.18   0   0   0.14   0.41   0

 [M3,*,Ziemniaki,*] (tr)
:   S1   S10   S2    S3     S4     S5   S6    S7      S8   S9    :=
1    0   0.95   0   1.11   1.98   0.96   0    1.14   0.92   0
2    0   0.03   0   0.31   0      0      0    0.38   0.04   0
3    0   0.03   0   0.31   0      0      0    0.38   0.04   0
4    0   0.03   0   0.31   0      0      0    0.38   0.04   0
5    0   0.03   0   0.31   0      0      0    0.38   0.04   0
6    0   0.03   0   0.36   0      0      0    0.4    0.05   0
7    0   0.04   0   0.56   0      0      0    0.7    3.68   0
8    0   0.05   0   0.7    0      0      0    0.84   0      0
9    0   0.69   0   0.73   6.61   0      0    1      0      0
10   0   0      0   0.82   0.5    0      0    1.03   0      0
11   0   0      0   2.09   0.5    0      0    1.32   1.61   0
12   0   0      0   3.71   0.62   0      0    1.43   0      0
13   0   0      0   0      0.56   0      0    1.79   0      0
14   0   0      0   0      0.85   0      0    1.74   0      0
15   0   0.55   0   1.74   0.8    0      0    2.43   0      0
16   0   1.2    0   1.94   1.06   0      0    2.63   0      0
17   0   0      0   2.63   0.95   0      0    2.6    0      0
18   0   0      0   2.39   0.98   0      0    2.73   0      0
19   0   0      0   2.99   0.97   0      0    5.07   0      0
20   0   0      0   3.24   1.07   0      0    6.75   0      0
21   0   0      0   2.32   1.32   0      0    2.04   0      0
22   0   1.98   0   2.36   1.15   0      0    0      0      0
23   0   0      0   3.03   1.13   0      0    4.13   0      0
24   0   0      0   3.44   0.96   0      0   10.83   0      0
25   0   0      0   3.34   0      0      0    0      0      0
26   0   0      0   3.05   0      0      0    0      0.35   0
27   0   0      0   2.65   0      0      0    3.25   0.49   0
28   0   0      0   3.52   0      0      0    3.39   0.45   0
29   0   0      0   3.15   0      0      0    8.31   0.34   0
30   0   1.45   0   3.3    0      0      0    0      0.47   0
31   0   0      0   3.19   0      0      0    2.8    0.96   0
32   0   0      0   2.6    0.86   0      0    3.48   1.92   0
33   0   0      0   2.42   4.25   0      0    5.47   0.06   0
34   0   0      0   1.99   0      0      0    6.41   0      0
35   0   0      0   2.23   0      0      0    0.77   0      0
36   0   1.09   0   6.18   0      0      0    0      0      0
37   0   0      0   5.61   0      0      0    0.74   0      0
38   0   0      0   1.95   3.9    0      0    4.58   0      0
39   0   0      0   0.64   0      0      0    6.35   0      0
40   0   0      0   0.89   0      0      0    2.16   0      0
41   0   0      0   0      0      0      0    0.2    0.84   0
42   0   0      0   0      0      0      0    0.1    0      0
43   0   0      0   0      0      0      0    0      0      0
44   0   0.06   0   0      0      0      0    0      0      0
45   0   0.23   0   0      0      0      0    0      0      0
46   0   0      0   0      0      0      0    0      0      0
47   0   0      0   0      0      0      0    0      0      0
48   0   0      0   0      0      0      0    0      0      0
49   0   0      0   0      0      0      0    0      0      0
50   0   0      0   0      0      0      0    0      0      0
51   0   0      0   0      0      0      0    0      0      0
52   0   0.03   0   0.31   0.11   0      0    0.38   0.04   0
;
